,anchor,positive,negative
111,111,138,2394
112,112,6004,6288
113,113,3204,6042
114,114,4485,5905
115,115,6429,3342
116,116,2933,4176
117,117,281,1372
118,118,5264,1634
119,119,4050,6150
120,120,722,898
121,121,395,1507
122,122,3957,5240
123,123,2569,2783
124,124,6546,4673
125,125,4918,2340
126,126,4183,4004
127,127,1122,6522
128,128,1710,3205
129,129,3656,3901
130,130,6212,5624
131,131,3005,4377
132,132,5124,3
133,133,5495,3940
134,134,238,2788
135,135,4754,2407
136,136,3043,2854
137,137,5152,4159
138,138,5626,5148
139,139,5495,1397
140,140,5501,1202
141,141,2211,1927
142,142,1940,6534
143,143,5219,3106
144,144,1607,2075
145,145,784,794
146,146,4934,6524
147,147,6426,1794
148,148,3126,3243
149,149,5830,2274
150,150,4215,3736
151,151,3195,1987
152,152,5411,6617
153,153,4492,1324
154,154,1426,86
155,155,6070,3246
156,156,654,2559
157,157,4678,2234
158,158,364,6466
159,159,1655,5302
160,160,4894,1726
161,161,2001,3768
162,162,3634,693
163,163,4094,6110
164,164,4639,6377
165,165,2569,5179
166,166,3642,4769
167,167,3635,1659
168,168,2918,3765
169,169,4899,1365
170,170,6257,5809
171,171,960,525
172,172,4429,3157
173,173,2291,2790
174,174,2457,3385
175,175,1515,5679
176,176,5187,1147
177,177,3604,1205
178,178,1834,538
179,179,2206,6576
180,180,4627,4996
181,181,6192,5161
182,182,5874,3950
183,183,2962,4215
184,184,1487,6005
185,185,2217,5099
186,186,3339,4063
187,187,575,448
188,188,2352,6563
189,189,5394,4932
190,190,4404,3434
191,191,1694,3103
192,192,4024,877
193,193,6617,6310
194,194,5106,6481
195,195,5929,6158
196,196,750,420
197,197,4783,3727
198,198,283,5822
199,199,5646,1171
200,200,6132,2497
201,201,1252,6205
202,202,125,4140
203,203,931,6545
204,204,6693,6689
205,205,2967,1383
206,206,920,2253
207,207,3974,5359
208,208,6466,1609
209,209,5710,589
210,210,5691,4580
211,211,900,5920
212,212,2097,6015
213,213,4984,3620
214,214,7,718
215,215,2104,1809
216,216,4683,2536
217,217,3835,737
218,218,6236,1585
219,219,6136,1096
220,220,4325,1307
221,221,1252,5498
222,222,4142,3801
223,223,6585,125
224,224,5014,6269
225,225,5190,4519
226,226,2168,1454
227,227,2771,6450
228,228,2598,700
229,229,1451,1149
230,230,3945,5352
231,231,4675,3483
232,232,3621,4803
233,233,5618,2755
234,234,2052,4885
235,235,2960,2348
236,236,5176,78
237,237,435,4752
238,238,1005,6488
239,239,1175,152
240,240,39,2972
241,241,4211,492
242,242,3898,5029
243,243,3418,2705
244,244,3897,5403
245,245,5153,5995
246,246,2817,3812
247,247,6580,2219
248,248,2101,2297
249,249,2449,6006
250,250,4164,3190
251,251,4648,4225
252,252,4967,3751
253,253,2370,1053
254,254,2433,4401
255,255,169,6615
256,256,5441,3088
257,257,2211,3007
258,258,6682,5270
259,259,4605,5971
260,260,3144,4314
261,261,1747,2831
262,262,6339,4960
263,263,939,1695
264,264,4754,3727
265,265,6379,5709
266,266,4340,200
267,267,6251,4627
268,268,1805,5484
269,269,5565,5685
270,270,2362,1921
271,271,4551,4426
272,272,4961,3142
273,273,5191,4835
274,274,1333,3075
275,275,6490,1741
276,276,1568,1787
277,277,5142,5669
278,278,1619,148
279,279,1663,6418
280,280,1626,1808
281,281,3547,3829
282,282,830,224
283,283,178,4761
284,284,1720,104
285,285,4555,121
286,286,4396,5946
287,287,3199,1225
288,288,3302,4441
289,289,2662,1269
290,290,2371,2313
291,291,5606,6355
292,292,4910,2552
293,293,1838,5233
294,294,1975,6453
295,295,1870,1403
296,296,4262,3631
297,297,1008,6466
298,298,4033,5713
299,299,6171,5634
300,300,116,2931
301,301,5093,4503
302,302,3539,2961
303,303,286,2733
304,304,5114,5062
305,305,5185,1913
306,306,4379,2385
307,307,5555,5274
308,308,5107,5313
309,309,6505,2933
310,310,6146,6679
311,311,556,2535
312,312,6678,1064
313,313,4897,3855
314,314,515,5786
315,315,1259,439
316,316,4034,1847
317,317,2229,5483
318,318,1058,3954
319,319,6165,2207
320,320,6651,727
321,321,4884,4789
322,322,1931,5803
323,323,3782,6535
324,324,6235,5804
325,325,2747,3610
326,326,244,343
327,327,749,4542
328,328,3160,517
329,329,1727,6112
330,330,1932,893
331,331,4551,2002
332,332,4566,803
333,333,1183,2970
334,334,3211,4295
335,335,6736,5683
336,336,2193,750
337,337,5296,3322
338,338,4850,6044
339,339,5949,3560
340,340,1841,6391
341,341,5435,4100
342,342,1167,2361
343,343,1033,1753
344,344,5343,4247
345,345,2582,2421
346,346,2629,723
347,347,4036,4037
348,348,2437,114
349,349,1467,3890
350,350,5320,4769
351,351,6133,1274
352,352,5314,4351
353,353,1136,4681
354,354,1679,5360
355,355,6096,5692
356,356,5685,3915
357,357,5983,4389
358,358,4093,2282
359,359,5724,1351
360,360,3113,2794
361,361,5212,4553
362,362,1360,4529
363,363,1932,6493
364,364,5148,4015
365,365,2031,1017
366,366,4207,341
367,367,4627,2477
368,368,3288,361
369,369,1590,5505
370,370,903,179
371,371,3117,2146
372,372,1897,1011
373,373,5756,6527
374,374,2713,4980
375,375,2989,3157
376,376,6146,1217
377,377,5046,1647
378,378,6158,3500
379,379,3448,2685
380,380,1733,785
381,381,4526,1998
382,382,2828,3880
383,383,3619,2221
384,384,2643,6713
385,385,2008,1364
386,386,2207,5207
387,387,867,5127
388,388,2987,2515
389,389,686,5778
390,390,6227,5072
391,391,3176,652
392,392,3908,265
393,393,243,6056
394,394,640,2813
395,395,2060,671
396,396,2597,6284
397,397,4945,4504
398,398,4099,3673
399,399,231,6423
400,400,1233,1455
401,401,1331,1899
402,402,1275,3692
403,403,5546,4507
404,404,6038,5188
405,405,2637,1969
406,406,991,5509
407,407,4472,4656
408,408,1447,1824
409,409,3090,6305
410,410,3068,5607
411,411,3468,4824
412,412,1490,829
413,413,1181,1999
414,414,6662,6714
415,415,4788,2545
416,416,3306,1674
417,417,767,67
418,418,6079,482
419,419,6022,3888
420,420,5465,6719
421,421,5573,4962
422,422,3080,4746
423,423,6145,555
424,424,4920,5942
425,425,2159,4371
426,426,1823,6188
427,427,6607,4370
428,428,3914,2018
429,429,481,6560
430,430,6607,6317
431,431,4792,3142
432,432,1054,4316
433,433,4563,4593
434,434,3916,1867
435,435,3188,6424
436,436,2959,1463
437,437,293,586
438,438,2543,2004
439,439,4766,5396
440,440,559,4551
441,441,3366,939
442,442,1882,801
443,443,6418,5242
444,444,2872,3639
445,445,2001,5757
446,446,2903,586
447,447,5608,3110
448,448,4731,3024
449,449,377,5849
450,450,1809,2077
451,451,6027,355
452,452,3484,1112
453,453,5590,5058
454,454,6018,3906
455,455,4248,770
456,456,3396,6548
457,457,649,5558
458,458,6321,180
459,459,436,5428
460,460,723,305
461,461,1686,4815
462,462,5042,3712
463,463,3978,2867
464,464,6536,4781
465,465,3139,6036
466,466,5331,689
467,467,2575,1572
468,468,118,969
469,469,6516,770
470,470,1774,898
471,471,4201,6545
472,472,6001,6155
473,473,3231,631
474,474,2507,3752
475,475,6363,2086
476,476,6081,853
477,477,1027,4493
478,478,4110,4734
479,479,3745,3873
480,480,3405,6505
481,481,313,6573
482,482,4818,2988
483,483,4458,3276
484,484,6557,5574
485,485,1635,6179
486,486,6426,5983
487,487,4860,3581
488,488,5874,2374
489,489,2214,3131
490,490,6712,4897
491,491,6424,1595
492,492,5951,3998
493,493,943,1239
494,494,113,1530
495,495,5680,1657
496,496,984,4728
497,497,2431,2042
498,498,750,5219
499,499,4987,3036
500,500,6692,5854
501,501,4838,2559
502,502,2620,5243
503,503,2637,5919
504,504,2674,6403
505,505,2399,5898
506,506,824,2255
507,507,2109,3594
508,508,6267,5670
509,509,6340,5337
510,510,973,2211
511,511,3921,3877
512,512,3799,5683
513,513,563,2684
514,514,509,4193
515,515,4161,6597
516,516,42,5063
517,517,2747,6361
518,518,4396,2690
519,519,2283,4098
520,520,1814,1262
521,521,334,1722
522,522,1296,3059
523,523,4435,4861
524,524,3489,3239
525,525,321,5458
526,526,5184,963
527,527,646,3970
528,528,272,3739
529,529,2485,6286
530,530,4168,1890
531,531,3905,2885
532,532,1349,4429
533,533,3296,6182
534,534,1793,2662
535,535,3003,6456
536,536,5469,3332
537,537,668,2337
538,538,6714,4784
539,539,2547,1275
540,540,2276,5398
541,541,6291,6266
542,542,3650,772
543,543,325,794
544,544,5549,4561
545,545,3597,3802
546,546,886,4385
547,547,4026,2984
548,548,2749,5497
549,549,2898,3506
550,550,2177,6336
551,551,2216,604
552,552,2237,5221
553,553,4772,5203
554,554,4096,2625
555,555,5870,3224
556,556,6508,2401
557,557,2930,2261
558,558,715,2888
559,559,2895,1158
560,560,2779,2832
561,561,6193,2085
562,562,2347,6741
563,563,2505,3583
564,564,6639,1605
565,565,4687,3570
566,566,272,5411
567,567,6436,97
568,568,4483,5991
569,569,6418,371
570,570,5453,1664
571,571,1834,1138
572,572,1002,423
573,573,613,2888
574,574,146,1226
575,575,2474,6455
576,576,715,1240
577,577,6683,1159
578,578,3078,747
579,579,2930,5938
580,580,1798,3689
581,581,1328,3627
582,582,6315,4589
583,583,211,6337
584,584,1905,3715
585,585,6141,5982
586,586,6152,3736
587,587,6728,3565
588,588,383,1003
589,589,5110,1720
590,590,5928,1276
591,591,2895,2252
592,592,6474,6503
593,593,6608,493
594,594,2488,5307
595,595,6165,4025
596,596,1103,1732
597,597,5938,5498
598,598,6346,769
599,599,2052,1428
600,600,5889,692
601,601,3997,4026
602,602,5946,5732
603,603,4683,1152
604,604,4484,2018
605,605,3832,2882
606,606,1162,1819
607,607,6737,6383
608,608,4249,2361
609,609,5872,4417
610,610,823,158
611,611,6416,3385
612,612,2302,5473
613,613,469,1767
614,614,2051,1141
615,615,2789,5883
616,616,4523,6436
617,617,4132,3305
618,618,6664,4751
619,619,6331,1867
620,620,3232,2123
621,621,4896,1725
622,622,748,3916
623,623,304,5363
624,624,6552,5454
625,625,4276,5899
626,626,13,1007
627,627,851,1937
628,628,1837,1454
629,629,6354,2903
630,630,1238,5201
631,631,6379,5459
632,632,6491,4963
633,633,3239,2768
634,634,39,4833
635,635,6068,3101
636,636,3561,2746
637,637,6141,1904
638,638,1671,3520
639,639,3910,500
640,640,94,3559
641,641,2613,4933
642,642,511,5070
643,643,1887,3493
644,644,2349,1355
645,645,973,2103
646,646,3509,5465
647,647,3766,5717
648,648,2375,4575
649,649,556,4880
650,650,1906,1956
651,651,5997,2346
652,652,5656,3502
653,653,3905,1573
654,654,123,4891
655,655,3690,555
656,656,4085,3956
657,657,5536,2392
658,658,2966,5452
659,659,6053,2126
660,660,3327,2258
661,661,2706,3664
662,662,1071,5849
663,663,4251,5502
664,664,2753,1569
665,665,568,3202
666,666,797,4389
667,667,2459,5718
668,668,910,4881
669,669,5373,6556
670,670,1648,3275
671,671,3296,1125
672,672,4745,4374
673,673,2146,2453
674,674,3677,4123
675,675,3745,1754
676,676,2137,3886
677,677,2976,438
678,678,2157,6507
679,679,1987,147
680,680,696,2687
681,681,777,6158
682,682,1050,5693
683,683,2409,5336
684,684,2096,150
685,685,5002,4331
686,686,6504,6733
687,687,5327,4862
688,688,4732,4337
689,689,679,3877
690,690,6192,258
691,691,3191,5755
692,692,3428,1348
693,693,1450,3654
694,694,3058,4652
695,695,3856,849
696,696,5495,4838
697,697,3412,776
698,698,6522,6300
699,699,2193,6522
700,700,824,3665
701,701,5057,4527
702,702,3268,2
703,703,1668,4974
704,704,4554,5994
705,705,5844,3511
706,706,1079,6517
707,707,1012,1645
708,708,145,755
709,709,164,5231
710,710,3309,938
711,711,1658,1910
712,712,5187,2280
713,713,1501,2400
714,714,3286,722
715,715,832,2083
716,716,336,4095
717,717,4685,3569
718,718,4095,3378
719,719,2409,4459
720,720,4626,1527
721,721,4910,4957
722,722,5317,1220
723,723,95,2693
724,724,2163,2282
725,725,2822,775
726,726,1731,3326
727,727,6604,2996
728,728,5739,3607
729,729,4719,5048
730,730,1016,4061
731,731,2773,67
732,732,3650,360
733,733,3209,4465
734,734,907,5235
735,735,5749,3485
736,736,2900,4293
737,737,6053,161
738,738,2462,4576
739,739,3886,1392
740,740,3855,5414
741,741,4928,4029
742,742,3267,2706
743,743,3080,5477
744,744,6511,6653
745,745,2290,2719
746,746,3637,3986
747,747,4099,2425
748,748,2742,4463
749,749,3697,548
750,750,505,2600
751,751,6105,3187
752,752,6546,3560
753,753,62,3273
754,754,1366,2037
755,755,446,3944
756,756,611,2157
757,757,2807,1513
758,758,574,3825
759,759,4360,2892
760,760,1536,3719
761,761,413,612
762,762,773,6269
763,763,1932,4104
764,764,2021,370
765,765,6082,6240
766,766,3513,3123
767,767,157,628
768,768,1313,1829
769,769,4965,3984
770,770,1147,3405
771,771,3259,6464
772,772,4432,5689
773,773,3746,1751
774,774,5215,4901
775,775,619,3431
776,776,5506,2162
777,777,6316,5303
778,778,5741,4985
779,779,6664,264
780,780,4948,2832
781,781,6081,202
782,782,2015,6195
783,783,1560,3397
784,784,2792,848
785,785,6226,1375
786,786,3656,2607
787,787,5319,3278
788,788,5426,1623
789,789,4513,4523
790,790,6187,4640
791,791,5262,2626
792,792,4031,387
793,793,5478,3222
794,794,2708,1605
795,795,996,6244
796,796,4745,859
797,797,830,4413
798,798,926,5176
799,799,6298,31
800,800,6511,4637
801,801,684,1747
802,802,3042,2298
803,803,1973,152
804,804,5213,2479
805,805,3620,4427
806,806,4706,4978
807,807,5309,5094
808,808,3181,519
809,809,2768,5863
810,810,2689,4198
811,811,156,3909
812,812,740,6169
813,813,5374,3726
814,814,3099,4205
815,815,587,2493
816,816,3034,5956
817,817,2030,220
818,818,1815,1653
819,819,4372,1783
820,820,785,172
821,821,855,2987
822,822,1444,2884
823,823,434,891
824,824,5674,5179
825,825,5695,1523
826,826,832,5714
827,827,4926,5374
828,828,5911,3487
829,829,2561,1968
830,830,2136,3872
831,831,5981,2110
832,832,652,1424
833,833,1611,6146
834,834,1805,4709
835,835,3182,3242
836,836,1548,4263
837,837,1044,3679
838,838,2296,3135
839,839,5557,3975
840,840,1557,5316
841,841,1719,3811
842,842,6520,1163
843,843,2030,548
844,844,3181,2947
845,845,752,5110
846,846,2457,548
847,847,2930,3658
848,848,6227,870
849,849,2462,1765
850,850,1919,3599
851,851,3453,214
852,852,1576,5308
853,853,4488,5042
854,854,6078,141
855,855,5955,2196
856,856,1980,5179
857,857,1768,6097
858,858,645,3436
859,859,2700,4843
860,860,917,5635
861,861,2104,5195
862,862,1145,2156
863,863,2648,5836
864,864,1893,1783
865,865,3167,5763
866,866,1609,6136
867,867,1460,4030
868,868,4740,664
869,869,2599,2316
870,870,3583,6441
871,871,4573,4747
872,872,1934,3897
873,873,5817,3693
874,874,4656,1018
875,875,4450,1205
876,876,4247,3883
877,877,3900,5599
878,878,3849,2807
879,879,6050,6030
880,880,5231,5133
881,881,1648,188
882,882,1685,3054
883,883,5712,2640
884,884,896,6185
885,885,2132,3777
886,886,1941,4162
887,887,4517,6300
888,888,926,547
889,889,5472,3162
890,890,1632,220
891,891,1796,2465
892,892,2522,5351
893,893,4892,4409
894,894,5044,4203
895,895,3009,726
896,896,1598,161
897,897,2813,74
898,898,3150,50
899,899,5435,1672
900,900,5365,2266
901,901,646,3760
902,902,370,1483
903,903,2140,1675
904,904,2806,350
905,905,2065,3270
906,906,1185,929
907,907,1765,4121
908,908,1740,1945
909,909,4305,3135
910,910,184,3343
911,911,6734,6162
912,912,4547,6675
913,913,6136,5883
914,914,4036,3440
915,915,3360,4900
916,916,1757,1737
917,917,1655,65
918,918,338,3820
919,919,1700,1911
920,920,4411,2865
921,921,2256,2150
922,922,3260,4968
923,923,3611,1804
924,924,2547,4852
925,925,3051,5093
926,926,5614,1755
927,927,4267,180
928,928,2034,1049
929,929,2172,306
930,930,127,2210
931,931,4265,2756
932,932,1425,2313
933,933,6166,2536
934,934,1520,1713
935,935,5295,1779
936,936,2290,4122
937,937,183,6387
938,938,4297,1234
939,939,1473,1415
940,940,1353,5560
941,941,2150,6721
942,942,1301,2607
943,943,6536,5664
944,944,5006,5942
945,945,762,4309
946,946,1351,496
947,947,3420,3260
948,948,3066,1757
949,949,4300,3995
950,950,4006,5822
951,951,1495,2039
952,952,2353,5585
953,953,6056,5806
954,954,4600,5855
955,955,4003,6739
956,956,6688,5571
957,957,2305,598
958,958,4167,3163
959,959,6419,5588
960,960,3934,535
961,961,3738,4579
962,962,2460,4037
963,963,6434,5104
964,964,5952,116
965,965,5267,1620
966,966,1647,6124
967,967,1336,3102
968,968,2125,461
969,969,791,2828
970,970,1810,1522
971,971,352,5273
972,972,5938,3489
973,973,140,5985
974,974,3940,5781
975,975,5628,5245
976,976,1616,1112
977,977,1304,2460
978,978,211,1671
979,979,4173,5429
980,980,6284,5896
981,981,6593,3047
982,982,356,3463
983,983,4877,1179
984,984,3684,6373
985,985,5842,5660
986,986,5894,3133
987,987,6168,3429
988,988,4232,4244
989,989,3185,4459
990,990,1793,402
991,991,3307,4194
992,992,5298,4180
993,993,715,3099
994,994,6435,1567
995,995,1365,3913
996,996,2413,4142
997,997,4502,945
998,998,2857,3285
999,999,5279,6346
1000,1000,1726,4155
1001,1001,6707,4294
1002,1002,4077,4231
1003,1003,1482,4636
1004,1004,3562,4106
1005,1005,2627,94
1006,1006,6719,4283
1007,1007,2497,1660
1008,1008,4831,4255
1009,1009,455,4008
1010,1010,5079,2783
1011,1011,6087,191
1012,1012,2083,3685
1013,1013,633,4934
1014,1014,2613,2442
1015,1015,3401,4023
1016,1016,1063,1908
1017,1017,670,4814
1018,1018,5537,5174
1019,1019,6403,6227
1020,1020,5404,4953
1021,1021,6584,5077
1022,1022,6331,4348
1023,1023,3630,671
1024,1024,2087,5665
1025,1025,1178,931
1026,1026,3536,6386
1027,1027,5200,4229
1028,1028,1909,1595
1029,1029,3481,3422
1030,1030,3072,87
1031,1031,3541,2956
1032,1032,5954,452
1033,1033,3562,6172
1034,1034,1323,6576
1035,1035,5681,5628
1036,1036,4694,4056
1037,1037,4654,1251
1038,1038,5276,6310
1039,1039,1041,6143
1040,1040,2641,2932
1041,1041,3522,1835
1042,1042,5350,4807
1043,1043,108,2219
1044,1044,5602,4410
1045,1045,985,81
1046,1046,1689,5022
1047,1047,3862,5541
1048,1048,4349,826
1049,1049,6462,2922
1050,1050,4099,3894
1051,1051,5671,271
1052,1052,5522,3485
1053,1053,912,4599
1054,1054,3095,456
1055,1055,1451,5055
1056,1056,1727,405
1057,1057,6481,3804
1058,1058,4171,4431
1059,1059,1990,234
1060,1060,1655,4914
1061,1061,436,6628
1062,1062,6442,4180
1063,1063,5135,2249
1064,1064,4430,3883
1065,1065,2865,933
1066,1066,6726,2620
1067,1067,4777,2204
1068,1068,1877,3153
1069,1069,3854,1482
1070,1070,6394,3875
1071,1071,6276,5816
1072,1072,482,5301
1073,1073,3942,5000
1074,1074,6329,6291
1075,1075,4969,5892
1076,1076,5561,4803
1077,1077,1481,6111
1078,1078,5209,5990
1079,1079,3470,1631
1080,1080,138,3363
1081,1081,4317,2710
1082,1082,4556,4268
1083,1083,4561,4810
1084,1084,3587,6683
1085,1085,1017,6032
1086,1086,5646,3780
1087,1087,3016,2347
1088,1088,2893,1776
1089,1089,1663,570
1090,1090,760,703
1091,1091,856,5824
1092,1092,1072,3952
1093,1093,3531,2347
1094,1094,2754,5849
1095,1095,1352,599
1096,1096,3737,4075
1097,1097,1923,2544
1098,1098,5924,968
1099,1099,5592,5574
1100,1100,1287,6389
1101,1101,2509,6513
1102,1102,3223,6554
1103,1103,3080,6488
1104,1104,4520,3915
1105,1105,6247,5094
1106,1106,5840,3599
1107,1107,4423,457
1108,1108,4454,6569
1109,1109,6489,6252
1110,1110,5000,2764
1111,1111,2825,2535
1112,1112,5265,3885
1113,1113,331,233
1114,1114,2368,2349
1115,1115,543,949
1116,1116,899,5972
1117,1117,2094,5827
1118,1118,4415,2449
1119,1119,1645,961
1120,1120,4086,6196
1121,1121,55,3341
1122,1122,2891,2455
1123,1123,6649,3358
1124,1124,6734,1304
1125,1125,2938,3429
1126,1126,1747,4113
1127,1127,3330,6351
1128,1128,1833,5447
1129,1129,1390,710
1130,1130,144,4075
1131,1131,4370,4298
1132,1132,154,3829
1133,1133,3597,1413
1134,1134,6555,4510
1135,1135,4062,6446
1136,1136,3207,4293
1137,1137,4372,4313
1138,1138,6710,6390
1139,1139,6209,4958
1140,1140,4553,1313
1141,1141,6337,1103
1142,1142,875,5308
1143,1143,511,4624
1144,1144,2273,1854
1145,1145,4675,1931
1146,1146,6322,4886
1147,1147,4906,2519
1148,1148,393,3367
1149,1149,4,6430
1150,1150,2697,4455
1151,1151,2897,4128
1152,1152,2307,1497
1153,1153,1190,2278
1154,1154,4619,4395
1155,1155,6383,5529
1156,1156,5327,4322
1157,1157,5652,6505
1158,1158,2706,5186
1159,1159,5068,4637
1160,1160,4453,3014
1161,1161,3286,2771
1162,1162,5655,4979
1163,1163,6551,2820
1164,1164,2846,4912
1165,1165,2307,3751
1166,1166,2643,4949
1167,1167,5651,763
1168,1168,3402,2750
1169,1169,6636,6179
1170,1170,3086,1054
1171,1171,6323,6367
1172,1172,495,2329
1173,1173,925,5964
1174,1174,5685,1448
1175,1175,5968,3523
1176,1176,1477,671
1177,1177,2635,944
1178,1178,6620,6608
1179,1179,3201,91
1180,1180,468,4390
1181,1181,4600,2892
1182,1182,3175,5269
1183,1183,515,248
1184,1184,4665,3806
1185,1185,4802,6680
1186,1186,6591,3112
1187,1187,5651,50
1188,1188,3434,2681
1189,1189,4468,4517
1190,1190,6263,4726
1191,1191,898,1552
1192,1192,5344,6533
1193,1193,2470,3872
1194,1194,6479,5427
1195,1195,217,5492
1196,1196,3268,5674
1197,1197,6499,4277
1198,1198,191,5196
1199,1199,1566,5805
1200,1200,108,2007
1201,1201,6729,5758
1202,1202,1032,6208
1203,1203,57,6025
1204,1204,3616,3754
1205,1205,4813,892
1206,1206,725,3856
1207,1207,4617,5733
1208,1208,6531,425
1209,1209,793,6205
1210,1210,799,4915
1211,1211,5301,4232
1212,1212,4713,759
1213,1213,6047,3232
1214,1214,5064,6683
1215,1215,6480,1526
1216,1216,3960,3018
1217,1217,5666,2756
1218,1218,6167,1518
1219,1219,281,4400
1220,1220,3081,3784
1221,1221,6585,4796
1222,1222,1996,3079
1223,1223,6183,5988
1224,1224,6182,4383
1225,1225,6554,5721
1226,1226,5839,6561
1227,1227,3732,1689
1228,1228,415,5113
1229,1229,3879,5216
1230,1230,5497,2742
1231,1231,2992,4609
1232,1232,5852,1745
1233,1233,3371,600
1234,1234,2879,0
1235,1235,1938,6055
1236,1236,1689,1230
1237,1237,844,1635
1238,1238,4981,4431
1239,1239,2422,2934
1240,1240,347,1099
1241,1241,145,1572
1242,1242,1096,5683
1243,1243,3531,6326
1244,1244,2358,2461
1245,1245,5210,262
1246,1246,5741,2764
1247,1247,6566,6036
1248,1248,5171,1444
1249,1249,1663,2284
1250,1250,6300,3324
1251,1251,5862,5187
1252,1252,539,1025
1253,1253,1082,5972
1254,1254,6017,135
1255,1255,5268,3824
1256,1256,3889,1221
1257,1257,1771,6527
1258,1258,3304,851
1259,1259,3385,4257
1260,1260,3345,4428
1261,1261,6503,6408
1262,1262,1535,3502
1263,1263,4641,4795
1264,1264,5461,1456
1265,1265,3494,3406
1266,1266,5731,1485
1267,1267,1212,1720
1268,1268,923,727
1269,1269,4280,222
1270,1270,644,2874
1271,1271,3727,6037
1272,1272,5044,1064
1273,1273,404,4457
1274,1274,2380,164
1275,1275,429,5757
1276,1276,5683,762
1277,1277,4565,2324
1278,1278,1202,5022
1279,1279,1596,4814
1280,1280,2309,1311
1281,1281,5623,6710
1282,1282,890,2187
1283,1283,1045,2278
1284,1284,5951,531
1285,1285,6091,4449
1286,1286,307,620
1287,1287,489,5769
1288,1288,2735,3631
1289,1289,4872,892
1290,1290,1538,1780
1291,1291,4548,1947
1292,1292,3222,725
1293,1293,3046,6594
1294,1294,5977,3291
1295,1295,5664,5464
1296,1296,3994,504
1297,1297,1237,4697
1298,1298,6664,5403
1299,1299,3224,837
1300,1300,3433,4997
1301,1301,1457,3277
1302,1302,5907,4655
1303,1303,522,6250
1304,1304,4735,3057
1305,1305,2830,261
1306,1306,5981,1531
1307,1307,3129,292
1308,1308,4994,4914
1309,1309,1316,3436
1310,1310,4295,3751
1311,1311,2060,2540
1312,1312,5745,1428
1313,1313,6205,4252
1314,1314,5631,355
1315,1315,379,36
1316,1316,195,767
1317,1317,3768,4587
1318,1318,3414,4781
1319,1319,6145,2131
1320,1320,4228,3747
1321,1321,6281,3235
1322,1322,1106,1566
1323,1323,6478,1816
1324,1324,2691,5620
1325,1325,204,1381
1326,1326,1946,4685
1327,1327,4118,1014
1328,1328,2538,4482
1329,1329,410,1711
1330,1330,5553,4417
1331,1331,2108,4245
1332,1332,4300,5318
1333,1333,6536,3690
1334,1334,3950,2795
1335,1335,5031,2635
1336,1336,2036,651
1337,1337,306,384
1338,1338,784,2652
1339,1339,1996,1577
1340,1340,6201,3105
1341,1341,6498,2273
1342,1342,617,683
1343,1343,6169,5576
1344,1344,82,1842
1345,1345,4857,2126
1346,1346,1819,6612
1347,1347,5824,1124
1348,1348,386,5974
1349,1349,2775,6181
1350,1350,6709,368
1351,1351,3595,5088
1352,1352,4645,1163
1353,1353,2906,5801
1354,1354,2879,585
1355,1355,2349,2945
1356,1356,5703,1440
1357,1357,3387,3788
1358,1358,5612,6051
1359,1359,5111,650
1360,1360,5443,5726
1361,1361,2552,1158
1362,1362,5938,4255
1363,1363,1842,5578
1364,1364,5098,6209
